country,w_both_014_tbtotal_nd,i_both_014_tbtotal_nd,absad_a,absad_b,w_both_all_htb_nd,i_both_all_htb_nd,w_both_all_tb_nd,i_both_all_tb_nd,w_both_all_tbtotal_nd,i_both_all_tbtotal_nd,any0
Nigeria,34612.09399188896,2608.13900460689,202982.8947271487,18365.5420422432,57354.114005142,4548.8011118124,180240.874713896,16424.879935038,237594.988719038,20973.6810468504,FALSE
Marshall Islands,2.79674216551647,0.09624967071305,20.30192425806152,2.88869006440749,0.0692672394581921,0.0199271677,23.098666423578,2.9650125674205,23.16793366303619,2.9849397351205003,FALSE
Timor-Leste,167.507951131377,3.6443096555141,1021.817248114006,150.91898346474102,3.75,2.1958544805,1185.57519924538,152.36743863976,1189.32519924538,154.56329312026,FALSE
Papua New Guinea,570.052539574512,12.9947192961598,3179.151053256752,500.309153321856,666.75,82.153175233,3082.45359283127,431.15069738502,3749.20359283127,513.30387261802,FALSE
Libya,81.6349866782094,2.5745772138603997,595.4842648636179,94.932166214619,22.0474385506942,9.7212563401,677.119251541828,87.78548708838,699.1666900925222,97.50674342848,FALSE
North Korea,1693.3434277049294,28.442467107116997,13809.797177957491,2256.22054051651,36.75,139.4272005728,15466.3906056624,2145.2358070508,15503.1406056624,2284.6630076235997,FALSE
Greenland,0,0.00876801515838,7.55999999999999,1.53946382196574,0,0.020017563476,7.55999999999999,1.5282142736481,7.55999999999999,1.5482318371241,TRUE
Iceland,0,0.00918934290581,6.823842619492851,1.45776767356064,0.00103271964750047,0.0514135339,6.82280989984534,1.4155434825665,6.82384261949284,1.4669570164665,TRUE
Sudan,1107.9711341589507,167.562918929793,6863.627000334137,1902.46211570192,635.461408562568,195.0916295001,7336.13672593051,1874.9334051316,7971.598134493078,2070.0250346317,FALSE
Laos,444.25176155192327,26.183380601700996,3146.586165908252,935.62474315097,245.623007661556,78.9517013247,3345.21491979862,882.85642242797,3590.837927460176,961.80812375267,FALSE
Congo,661.265045338178,119.164897261514,4059.4680259215947,1145.70451514465,2449.69649892944,322.2743893477,2271.03657233033,942.59502305847,4720.73307125977,1264.8694124061699,FALSE
Gabon,155.98631593116352,13.2606701712086,1019.4935051346852,325.21657799904,54.4151810224567,108.6645975757,1121.06464004339,229.81265059455,1175.4798210658466,338.47724817025,FALSE
Madagascar,1863.24924802966,323.02236238099397,11628.555595782092,3650.05911949549,1519.31436701011,25.1636483768,11972.4904768016,3947.9178334997,13491.804843811711,3973.0814818765,FALSE
Tanzania,8010.333039737299,2017.70922350279,46896.75002721965,14617.0562038731,25001.4348530038,6222.0223360295,29905.6482139531,10412.743091346,54907.0830669569,16634.7654273755,FALSE
Federated States of Micronesia,1.83519355723335,0.1223789248188,12.46480644276663,4.3121782840595,0,0.3496942733,14.3,4.0848629355783,14.3,4.4345572088783,TRUE
Bangladesh,8790.188810574327,173.432612237015,64264.10986588981,23017.6415405523,232.565728355764,121.0873937424,72821.7329481084,23069.986759047,73054.29867646417,23191.0741527894,FALSE
Ghana,1949.123495283344,369.147054244692,13299.380363645909,5096.8704997745,5100.0675364021,1359.7470964461,10148.4363225272,4106.270457573,15248.5038589293,5466.0175540191,FALSE
Afghanistan,1764.368961602143,304.52661718882996,10365.920051988629,4236.94802388442,173.067246600323,5.9456306292,11957.2217669904,4535.5290104441,12130.289013590724,4541.4746410733005,FALSE
Northern Mariana Islands,0,0.01377728267895,2.6439555097028062,1.04164957880773,0.00447840731766366,0.012356349755000001,2.6439555097028,1.0430705117317,2.648433917020464,1.0554268614867002,TRUE
Cambodia,1073.8309071905167,66.929621550215,7978.549123742348,3598.25644838147,439.775515429395,529.8758261405,8612.60451550347,3135.3102437912,9052.380030932865,3665.1860699317,FALSE
Maldives,1.07828298491275,0.05458323064089,18.47363202890862,7.9308376017661,0.0436049999999999,0.0498251462,19.5083100138214,7.935595686207,19.5519150138214,7.985420832407,FALSE
Malta,0,0.00748177243387,2.00147716925427,0.8460426393427,0.994384272230591,0.0890459573,1.00709289702368,0.76447845447657,2.001477169254271,0.85352441177657,TRUE
Cape Verde,1.87830062356201,0.48246212877933004,62.16509635484734,27.2874691118434,36.6446917291466,3.446949179,27.3987052492628,24.322982061623,64.0433969784094,27.769931240623002,FALSE
Haiti,1213.420742681911,63.355760172733,1417.9689392876248,1118.34435664573,663.698437487093,290.917699972,1967.69124448245,890.78241684646,2631.389681969543,1181.70011681846,FALSE
Cameroon,1547.836669029774,567.383022796457,11586.988198025669,5361.5959089551,6199.59816043421,2635.158366008,6935.22670662123,3293.8205657435,13134.824867055439,5928.978931751501,FALSE
Mauritius,0.4519946495342384,0.10482616024468,31.65390188367799,14.476224967134302,12.9817787704741,1.9784998677,19.1241177627381,12.602551259679,32.1058965332122,14.581051127379,FALSE
Moldova Republic of,7.49243332099217,0.8259328759461699,486.8826798661315,225.05873900583703,181.639196748509,10.6419141469,312.735916438614,215.24275773488,494.375113187123,225.88467188178,FALSE
